player_name,player_id,team_name,team_id,season,primary_position,tb_hit,bb_hit,so_hit,sb_hit,hr_hit,rbi_hit,xbh_hit,tpa_hit,h_hit,r_hit,ab_hit,sv_pitch,bb_pitch,so_pitch,hr_pitch,qs_pitch,hld_pitch,svo_pitch,h_pitch,ip_pitch,r_pitch,ab_pitch,er_pitch,win_ws,ws
"Aase, Don",110003,Orioles,110,1988,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,28.0,4.0,,,1.0,40.0,46.666666666666664,22.0,167.0,21.0,0.0,0.0
"Anderson, Brady",110229,Orioles,110,1988,RF,48.0,8.0,40.0,6.0,1.0,9.0,10.0,192.0,35.0,17.0,177.0,,,,,,,,,,,,,0.0,0.0
"Ballard, Jeff",110515,Orioles,110,1988,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,41.0,15.0,,,0.0,167.0,153.33333333333334,83.0,600.0,75.0,0.0,0.0
"Bautista, Jose",110713,Orioles,110,1988,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,76.0,21.0,,,0.0,171.0,171.66666666666666,86.0,664.0,82.0,0.0,0.0
"Boddicker, Mike",111139,Orioles,110,1988,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,100.0,14.0,,,0.0,149.0,147.0,72.0,563.0,63.0,0.0,0.0
"Davis, Butch",113144,Orioles,110,1988,OF,7.0,0.0,8.0,1.0,0.0,0.0,1.0,25.0,6.0,2.0,25.0,,,,,,,,,,,,,0.0,0.0
"Dillard, Gordon",113363,Orioles,110,1988,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,,,0.0,3.0,3.0,2.0,11.0,2.0,0.0,0.0
"Dwyer, Jim",113673,Orioles,110,1988,OF,12.0,12.0,11.0,0.0,0.0,3.0,0.0,66.0,12.0,3.0,53.0,,,,,,,,,,,,,0.0,0.0
"Gerhart, Ken",114715,Orioles,110,1988,OF,90.0,21.0,57.0,7.0,9.0,23.0,20.0,291.0,51.0,27.0,262.0,,,,,,,,,,,,,0.0,0.0
"Gonzales, Rene",114922,Orioles,110,1988,3B,63.0,13.0,32.0,2.0,2.0,15.0,8.0,260.0,51.0,13.0,237.0,,,,,,,,,,,,,0.0,0.0
"Habyan, John",115281,Orioles,110,1988,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,,,0.0,22.0,14.666666666666666,10.0,62.0,7.0,0.0,0.0
"Harnisch, Pete",115487,Orioles,110,1988,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,10.0,1.0,,,0.0,13.0,13.0,8.0,50.0,8.0,0.0,0.0
